date,usdsgd_rate,equities_tilt,gold_tilt,bonds_tilt,crypto_tilt,fx_tilt,equities_weight,gold_weight,bonds_weight,crypto_weight,fx_weight,equities_price,gold_price,bonds_price,crypto_price,fx_price,equities_shares,gold_shares,bonds_shares,crypto_shares,fx_shares,equities_shares_neutral,gold_shares_neutral,bonds_shares_neutral,crypto_shares_neutral,fx_shares_neutral,nav_tilt_sgd,nav_neutral_sgd,daily_return_tilt,daily_return_neutral,cum_return_tilt,cum_return_neutral,notes,turnover_pct,est_cost_drag_sgd,cum_cost_drag_sgd
2026-07-11,1.2914,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,32.15,26.89,4.5,22.97,13.49,754.95,4104.1,84.47,36.23,28.39,82.448743,12.683857,103.07618,1227.17319,920.061104,85.646086,13.207461,107.714608,1277.052667,681.889258,250000.0,250000.0,0.0,0.0,0.0,0.0,Ledger opened.,,,
2026-07-12,1.2914,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,32.15,26.99,4.5,22.87,13.49,754.95,4113.7,84.47,36.23,28.39,82.50054,12.707268,103.140936,1222.827706,920.639117,85.70218,13.23236,107.785156,1272.542263,682.335865,250157.06,250163.74,0.0628,0.0655,0.0628,0.0655,,0.1625,0.1892,0.1892
2026-07-13,1.29232,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,32.15,26.99,4.5,22.87,13.49,754.95,4104.1,84.47,36.23,28.39,82.448556,12.728966,103.075946,1222.0572,920.05902,85.645981,13.254614,107.714476,1271.707791,681.888422,250177.55,250177.81,0.0082,0.0056,0.071,0.0711,,0.092,0.0862,0.2754
2026-07-14,1.29294,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,32.15,26.79,4.5,23.06,13.49,749.17,3997.0,83.97,35.22,28.5,81.786138,12.774523,102.069152,1247.810086,902.18386,84.889974,13.291083,106.577129,1297.514444,668.106122,246385.68,246189.03,-1.5157,-1.5944,-1.4457,-1.5244,,1.1436,1.4733,1.7487
2026-07-15,1.29009,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.2,28.71,4.5,22.49,13.11,751.83,4036.5,84.08,36.58,28.39,80.037287,13.718629,103.18096,1185.819449,890.737185,85.166614,13.473955,107.80927,1260.100398,679.337449,248846.02,248811.78,0.9986,1.0653,-0.4616,-0.4753,,4.0493,3.9523,5.701
2026-07-16,1.28889,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.96,27.08,4.5,22.97,13.49,754.81,4044.0,84.24,36.81,28.25,81.890863,12.950959,103.25382,1206.624257,923.692225,85.079687,13.488492,107.920747,1255.90713,684.710504,249263.55,249310.92,0.1678,0.2006,-0.2946,-0.2756,,3.2098,3.1172,8.8182
2026-07-17,1.29067,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,32.06,26.89,4.5,23.06,13.49,750.72,3986.0,84.21,36.39,28.34,81.937313,12.94446,102.482353,1216.045669,913.553877,85.091416,13.475356,107.066521,1265.169424,676.892428,247654.61,247590.93,-0.6455,-0.6899,-0.9382,-0.9636,,0.394,0.6147,9.4329
2026-07-18,1.2912,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.77,27.18,4.5,23.06,13.49,743.29,4023.0,84.52,36.35,28.33,81.948629,12.951802,102.023512,1216.394724,913.133841,85.097676,13.48337,106.586062,1265.519598,676.574265,247555.01,247488.82,-0.0402,-0.0412,-0.978,-1.0045,,0.0529,0.0558,9.4887
2026-07-19,1.2912,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.87,27.18,4.5,22.97,13.49,743.29,4012.7,84.52,36.35,28.33,82.138183,12.975999,101.952415,1210.503288,912.497503,85.293702,13.508185,106.508835,1259.333479,676.084048,247382.5,247309.5,-0.0697,-0.0725,-1.047,-1.0762,,0.2486,0.2616,9.7503
2026-07-20,1.29056,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.87,27.08,4.5,23.06,13.49,743.29,4012.7,84.52,36.35,28.33,82.138113,12.930298,101.952328,1215.546012,912.496723,85.293702,13.460453,106.508834,1264.602649,676.084043,247259.66,247186.91,-0.0497,-0.0496,-1.0961,-1.1252,,0.1914,0.213,9.9633
2026-07-21,1.28998,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.58,27.27,4.5,23.16,13.49,742.09,4010.3,83.89,36.89,28.39,81.749691,13.064619,102.995067,1205.967132,913.024604,84.887907,13.600975,107.60098,1254.691481,676.492785,247815.26,247748.8,0.2247,0.2273,-0.8739,-0.9005,,0.6677,0.6169,10.5802
2026-07-22,1.29118,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,30.91,29.09,4.5,22.39,13.11,748.28,4139.4,83.66,37.67,28.48,80.671144,13.725116,104.992875,1160.914051,899.001492,85.891582,13.497318,109.748562,1234.241588,685.92851,252163.9,252235.17,1.7548,1.8109,0.8656,0.8941,,2.9718,3.0805,13.6607
2026-07-23,1.29053,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.48,27.56,4.5,22.97,13.49,747.41,4146.9,83.44,37.34,28.45,82.095564,12.952441,105.052468,1198.725167,924.314013,85.282648,13.490566,109.798242,1247.657591,685.156142,251516.85,251559.03,-0.2566,-0.2681,0.6067,0.6236,,3.2874,3.3554,17.0161
2026-07-24,1.29079,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.48,27.37,4.5,23.16,13.49,738.18,4046.6,83.17,36.65,28.56,81.922961,12.991155,103.873119,1213.705734,907.471358,85.039801,13.520456,108.484555,1262.350105,672.169116,247938.45,247794.88,-1.4227,-1.4963,-0.8246,-0.882,,0.7352,1.0662,18.0823
2026-07-25,1.2901,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.48,27.46,4.5,23.06,13.49,738.93,4067.6,83.25,36.35,28.58,81.838293,12.969034,103.771377,1218.643257,906.8195,84.94956,13.497225,108.375296,1267.428616,671.66769,247801.32,247650.98,-0.0553,-0.0581,-0.8795,-0.9396,,0.1869,0.2135,18.2958
2026-07-26,1.2901,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.48,27.46,4.5,23.06,13.49,738.93,4070.8,83.25,36.35,28.58,81.855966,12.961637,103.793786,1218.906423,907.015328,84.968674,13.489649,108.399681,1267.713792,671.818818,247854.84,247706.7,0.0216,0.0225,-0.8581,-0.9173,,0.0313,0.0292,18.325
2026-07-27,1.29002,NEUTRAL,NEUTRAL,TILT DOWN,NEUTRAL,TILT UP,31.48,27.37,4.5,23.16,13.49,738.93,4067.6,83.25,36.35,28.58,81.838226,12.923835,103.771291,1223.698862,906.818755,84.949571,13.450033,108.37531,1272.70973,671.667775,247785.76,247635.66,-0.0279,-0.0287,-0.8857,-0.9457,,0.1814,0.2045,18.5295
