Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1993-01-29,24.241409301757812,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.41382598876953,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.465532302856445,44.34375,44.375,44.125,44.21875,201300
1993-02-03,24.72417640686035,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,24.827617645263672,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,24.810361862182617,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,24.810361862182617,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,24.637956619262695,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,24.67243003845215,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,24.793128967285156,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.603464126586914,44.59375,44.875,44.59375,44.875,42500
1993-02-16,23.982786178588867,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,23.96554946899414,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,23.94829750061035,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,24.034513473510742,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,24.12070655822754,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,24.103466033935547,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.41382598876953,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.465532302856445,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.50002098083496,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.431058883666992,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,24.793128967285156,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,24.89656639099121,45.125,45.15625,44.9375,45.0,280100
1993-03-04,24.758642196655273,44.875,45.1875,44.875,45.1875,89500
1993-03-05,24.689685821533203,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.241405487060547,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.155197143554688,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.206920623779297,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.13794708251953,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,24.87934112548828,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,25.000028610229492,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,25.000028610229492,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,24.844863891601562,45.03125,45.25,44.96875,45.25,21800
1993-03-18,25.000028610229492,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,24.96219825744629,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,24.823612213134766,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,24.87557601928711,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,24.87557601928711,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,25.03148078918457,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,24.892898559570312,44.90625,45.15625,44.875,45.125,101500
1993-03-29,24.9968318939209,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,25.066120147705078,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,25.048789978027344,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,24.96219825744629,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.442516326904297,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.56376838684082,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.494478225708008,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.581096649169922,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.54645347595215,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,24.892898559570312,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,24.944869995117188,45.0,45.15625,44.84375,44.875,146100
1993-04-14,24.910221099853516,44.9375,45.0625,44.90625,45.03125,119600
